Date,BGT North of NE 70th Total,Ped South,Ped North,Bike North,Bike South
01/01/2024 12:00:00 AM,3,,,1,2
01/01/2024 01:00:00 AM,1,,,0,1
01/01/2024 02:00:00 AM,0,,,0,0
01/01/2024 03:00:00 AM,0,,,0,0
01/01/2024 04:00:00 AM,0,,,0,0
01/01/2024 05:00:00 AM,0,,,0,0
01/01/2024 06:00:00 AM,0,,,0,0
01/01/2024 07:00:00 AM,4,,,2,2
01/01/2024 08:00:00 AM,18,,,9,9
01/01/2024 09:00:00 AM,27,,,13,14
01/01/2024 10:00:00 AM,43,,,21,22
01/01/2024 11:00:00 AM,78,,,39,39
01/01/2024 12:00:00 PM,80,,,40,40
01/01/2024 01:00:00 PM,76,,,38,38
01/01/2024 02:00:00 PM,87,,,43,44
01/01/2024 03:00:00 PM,79,,,39,40
01/01/2024 04:00:00 PM,50,,,25,25
01/01/2024 05:00:00 PM,17,,,8,9
01/01/2024 06:00:00 PM,2,,,1,1
01/01/2024 07:00:00 PM,2,,,1,1
01/01/2024 08:00:00 PM,2,,,1,1
01/01/2024 09:00:00 PM,1,,,0,1
01/01/2024 10:00:00 PM,0,,,0,0
01/01/2024 11:00:00 PM,0,,,0,0
01/02/2024 12:00:00 AM,1,,,0,1
01/02/2024 01:00:00 AM,0,,,0,0
01/02/2024 02:00:00 AM,0,,,0,0
01/02/2024 03:00:00 AM,0,,,0,0
01/02/2024 04:00:00 AM,3,,,1,2
01/02/2024 05:00:00 AM,5,,,2,3
01/02/2024 06:00:00 AM,8,,,4,4
01/02/2024 07:00:00 AM,21,,,10,11
01/02/2024 08:00:00 AM,39,,,19,20
01/02/2024 09:00:00 AM,16,,,8,8
01/02/2024 10:00:00 AM,13,,,6,7
01/02/2024 11:00:00 AM,14,,,7,7
01/02/2024 12:00:00 PM,13,,,6,7
01/02/2024 01:00:00 PM,10,,,5,5
01/02/2024 02:00:00 PM,16,,,8,8
01/02/2024 03:00:00 PM,16,,,8,8
01/02/2024 04:00:00 PM,23,,,11,12
01/02/2024 05:00:00 PM,28,,,14,14
01/02/2024 06:00:00 PM,14,,,7,7
01/02/2024 07:00:00 PM,5,,,2,3
01/02/2024 08:00:00 PM,6,,,3,3
01/02/2024 09:00:00 PM,2,,,1,1
01/02/2024 10:00:00 PM,0,,,0,0
01/02/2024 11:00:00 PM,1,,,0,1
01/03/2024 12:00:00 AM,0,,,0,0
01/03/2024 01:00:00 AM,0,,,0,0
01/03/2024 02:00:00 AM,0,,,0,0
01/03/2024 03:00:00 AM,0,,,0,0
01/03/2024 04:00:00 AM,1,,,0,1
01/03/2024 05:00:00 AM,5,,,2,3
01/03/2024 06:00:00 AM,12,,,6,6
01/03/2024 07:00:00 AM,17,,,8,9
01/03/2024 08:00:00 AM,46,,,23,23
01/03/2024 09:00:00 AM,32,,,16,16
01/03/2024 10:00:00 AM,24,,,12,12
01/03/2024 11:00:00 AM,31,,,15,16
01/03/2024 12:00:00 PM,21,,,10,11
01/03/2024 01:00:00 PM,37,,,18,19
01/03/2024 02:00:00 PM,29,,,14,15
01/03/2024 03:00:00 PM,20,,,10,10
01/03/2024 04:00:00 PM,43,,,21,22
01/03/2024 05:00:00 PM,43,,,21,22
01/03/2024 06:00:00 PM,13,,,6,7
01/03/2024 07:00:00 PM,6,,,3,3
01/03/2024 08:00:00 PM,3,,,1,2
01/03/2024 09:00:00 PM,0,,,0,0
01/03/2024 10:00:00 PM,1,,,0,1
01/03/2024 11:00:00 PM,1,,,0,1
01/04/2024 12:00:00 AM,0,,,0,0
01/04/2024 01:00:00 AM,0,,,0,0
01/04/2024 02:00:00 AM,0,,,0,0
01/04/2024 03:00:00 AM,0,,,0,0
01/04/2024 04:00:00 AM,0,,,0,0
01/04/2024 05:00:00 AM,8,,,4,4
01/04/2024 06:00:00 AM,9,,,4,5
01/04/2024 07:00:00 AM,20,,,10,10
01/04/2024 08:00:00 AM,38,,,19,19
01/04/2024 09:00:00 AM,24,,,12,12
01/04/2024 10:00:00 AM,11,,,5,6
01/04/2024 11:00:00 AM,16,,,8,8
01/04/2024 12:00:00 PM,21,,,10,11
01/04/2024 01:00:00 PM,19,,,9,10
01/04/2024 02:00:00 PM,16,,,8,8
01/04/2024 03:00:00 PM,29,,,14,15
01/04/2024 04:00:00 PM,32,,,16,16
01/04/2024 05:00:00 PM,48,,,24,24
01/04/2024 06:00:00 PM,20,,,10,10
01/04/2024 07:00:00 PM,7,,,3,4
01/04/2024 08:00:00 PM,5,,,2,3
01/04/2024 09:00:00 PM,4,,,2,2
01/04/2024 10:00:00 PM,3,,,1,2
01/04/2024 11:00:00 PM,0,,,0,0
01/05/2024 12:00:00 AM,0,,,0,0
01/05/2024 01:00:00 AM,0,,,0,0
01/05/2024 02:00:00 AM,0,,,0,0
01/05/2024 03:00:00 AM,0,,,0,0
01/05/2024 04:00:00 AM,1,,,0,1
01/05/2024 05:00:00 AM,2,,,1,1
01/05/2024 06:00:00 AM,10,,,5,5
01/05/2024 07:00:00 AM,15,,,7,8
01/05/2024 08:00:00 AM,33,,,16,17
01/05/2024 09:00:00 AM,23,,,11,12
01/05/2024 10:00:00 AM,37,,,18,19
01/05/2024 11:00:00 AM,21,,,10,11
01/05/2024 12:00:00 PM,22,,,11,11
01/05/2024 01:00:00 PM,18,,,9,9
01/05/2024 02:00:00 PM,20,,,10,10
01/05/2024 03:00:00 PM,10,,,5,5
01/05/2024 04:00:00 PM,19,,,9,10
01/05/2024 05:00:00 PM,25,,,12,13
01/05/2024 06:00:00 PM,5,,,2,3
01/05/2024 07:00:00 PM,5,,,2,3
01/05/2024 08:00:00 PM,0,,,0,0
01/05/2024 09:00:00 PM,1,,,0,1
