Time,Thomas St Overpass,Thomas St Overpass Pedestrian IN,Thomas St Overpass Pedestrian OUT,Thomas St Overpass Cyclist IN,Thomas St Overpass Cyclist OUT
01/01/2024 12:00:00 AM,79,57,14,57,3
01/01/2024 01:00:00 AM,19,12,4,12,0
01/01/2024 02:00:00 AM,12,6,5,6,0
01/01/2024 03:00:00 AM,0,0,0,0,0
01/01/2024 04:00:00 AM,0,0,0,0,0
01/01/2024 05:00:00 AM,3,0,3,0,0
01/01/2024 06:00:00 AM,5,2,2,2,1
01/01/2024 07:00:00 AM,7,2,4,2,0
01/01/2024 08:00:00 AM,25,11,13,11,0
01/01/2024 09:00:00 AM,66,28,33,28,5
01/01/2024 10:00:00 AM,88,48,32,48,3
01/01/2024 11:00:00 AM,122,70,42,70,7
01/01/2024 12:00:00 PM,135,76,47,76,4
01/01/2024 01:00:00 PM,176,106,58,106,3
01/01/2024 02:00:00 PM,178,107,58,107,5
01/01/2024 03:00:00 PM,255,134,89,134,8
01/01/2024 04:00:00 PM,269,191,66,191,2
01/01/2024 05:00:00 PM,59,46,10,46,0
01/01/2024 06:00:00 PM,23,11,10,11,1
01/01/2024 07:00:00 PM,13,5,8,5,0
01/01/2024 08:00:00 PM,8,5,3,5,0
01/01/2024 09:00:00 PM,6,3,0,3,1
01/01/2024 10:00:00 PM,6,4,2,4,0
01/01/2024 11:00:00 PM,0,0,0,0,0
01/02/2024 12:00:00 AM,2,0,2,0,0
01/02/2024 01:00:00 AM,1,1,0,1,0
01/02/2024 02:00:00 AM,1,0,0,0,0
01/02/2024 03:00:00 AM,0,0,0,0,0
01/02/2024 04:00:00 AM,0,0,0,0,0
01/02/2024 05:00:00 AM,11,3,6,3,1
01/02/2024 06:00:00 AM,13,4,7,4,1
01/02/2024 07:00:00 AM,37,13,13,13,6
01/02/2024 08:00:00 AM,77,26,29,26,14
01/02/2024 09:00:00 AM,77,36,30,36,1
01/02/2024 10:00:00 AM,48,23,18,23,1
01/02/2024 11:00:00 AM,31,17,11,17,1
01/02/2024 12:00:00 PM,36,25,9,25,0
01/02/2024 01:00:00 PM,30,17,9,17,1
01/02/2024 02:00:00 PM,33,15,10,15,5
01/02/2024 03:00:00 PM,51,22,19,22,3
01/02/2024 04:00:00 PM,62,35,18,35,3
01/02/2024 05:00:00 PM,66,37,14,37,7
01/02/2024 06:00:00 PM,23,10,8,10,2
01/02/2024 07:00:00 PM,11,6,4,6,0
01/02/2024 08:00:00 PM,11,5,5,5,0
01/02/2024 09:00:00 PM,9,4,4,4,0
01/02/2024 10:00:00 PM,6,5,0,5,1
01/02/2024 11:00:00 PM,7,3,3,3,0
01/03/2024 12:00:00 AM,7,4,2,4,0
01/03/2024 01:00:00 AM,0,0,0,0,0
01/03/2024 02:00:00 AM,0,0,0,0,0
01/03/2024 03:00:00 AM,1,1,0,1,0
01/03/2024 04:00:00 AM,0,0,0,0,0
01/03/2024 05:00:00 AM,4,1,2,1,1
01/03/2024 06:00:00 AM,21,9,7,9,4
01/03/2024 07:00:00 AM,49,17,22,17,7
01/03/2024 08:00:00 AM,75,26,37,26,7
01/03/2024 09:00:00 AM,98,36,51,36,7
01/03/2024 10:00:00 AM,61,31,22,31,2
01/03/2024 11:00:00 AM,82,50,25,50,2
01/03/2024 12:00:00 PM,83,46,27,46,0
01/03/2024 01:00:00 PM,81,50,25,50,2
01/03/2024 02:00:00 PM,47,23,14,23,5
01/03/2024 03:00:00 PM,69,39,23,39,3
01/03/2024 04:00:00 PM,139,78,36,78,6
01/03/2024 05:00:00 PM,89,50,24,50,3
01/03/2024 06:00:00 PM,35,19,7,19,5
01/03/2024 07:00:00 PM,14,6,5,6,0
01/03/2024 08:00:00 PM,12,4,5,4,1
01/03/2024 09:00:00 PM,9,5,4,5,0
01/03/2024 10:00:00 PM,5,3,1,3,0
01/03/2024 11:00:00 PM,4,1,1,1,1
01/04/2024 12:00:00 AM,1,0,0,0,0
01/04/2024 01:00:00 AM,0,0,0,0,0
01/04/2024 02:00:00 AM,3,1,2,1,0
01/04/2024 03:00:00 AM,0,0,0,0,0
01/04/2024 04:00:00 AM,1,0,0,0,1
01/04/2024 05:00:00 AM,8,1,4,1,2
01/04/2024 06:00:00 AM,21,6,11,6,2
01/04/2024 07:00:00 AM,42,15,18,15,7
01/04/2024 08:00:00 AM,68,30,24,30,8
01/04/2024 09:00:00 AM,60,28,22,28,6
01/04/2024 10:00:00 AM,48,26,15,26,2
01/04/2024 11:00:00 AM,66,34,27,34,2
01/04/2024 12:00:00 PM,75,47,24,47,1
01/04/2024 01:00:00 PM,67,37,25,37,1
01/04/2024 02:00:00 PM,79,38,31,38,3
01/04/2024 03:00:00 PM,81,40,33,40,1
01/04/2024 04:00:00 PM,90,50,32,50,2
01/04/2024 05:00:00 PM,127,75,27,75,11
01/04/2024 06:00:00 PM,38,20,11,20,3
01/04/2024 07:00:00 PM,20,8,11,8,0
01/04/2024 08:00:00 PM,18,6,6,6,1
01/04/2024 09:00:00 PM,15,7,6,7,1
01/04/2024 10:00:00 PM,11,7,0,7,2
01/04/2024 11:00:00 PM,5,4,1,4,0
01/05/2024 12:00:00 AM,2,2,0,2,0
01/05/2024 01:00:00 AM,3,3,0,3,0
01/05/2024 02:00:00 AM,2,1,1,1,0
01/05/2024 03:00:00 AM,2,1,1,1,0
01/05/2024 04:00:00 AM,0,0,0,0,0
01/05/2024 05:00:00 AM,2,0,0,0,1
01/05/2024 06:00:00 AM,12,0,7,0,3
01/05/2024 07:00:00 AM,41,16,18,16,3
01/05/2024 08:00:00 AM,76,37,29,37,9
01/05/2024 09:00:00 AM,61,28,29,28,3
01/05/2024 10:00:00 AM,42,22,11,22,8
01/05/2024 11:00:00 AM,42,23,16,23,1
01/05/2024 12:00:00 PM,46,26,16,26,1
01/05/2024 01:00:00 PM,21,8,10,8,0
01/05/2024 02:00:00 PM,22,6,10,6,2
01/05/2024 03:00:00 PM,25,10,8,10,0
01/05/2024 04:00:00 PM,43,25,11,25,4
01/05/2024 05:00:00 PM,32,15,7,15,2
01/05/2024 06:00:00 PM,15,4,5,4,2
01/05/2024 07:00:00 PM,6,4,2,4,0
01/05/2024 08:00:00 PM,10,7,2,7,0
01/05/2024 09:00:00 PM,5,4,1,4,0
01/05/2024 10:00:00 PM,3,1,1,1,1
01/05/2024 11:00:00 PM,1,1,0,1,0
01/06/2024 12:00:00 AM,0,0,0,0,0
01/06/2024 01:00:00 AM,0,0,0,0,0
01/06/2024 02:00:00 AM,0,0,0,0,0
01/06/2024 03:00:00 AM,2,1,0,1,0
01/06/2024 04:00:00 AM,0,0,0,0,0
01/06/2024 05:00:00 AM,4,1,3,1,0
01/06/2024 06:00:00 AM,4,2,2,2,0
01/06/2024 07:00:00 AM,15,9,3,9,3
01/06/2024 08:00:00 AM,24,9,14,9,0
01/06/2024 09:00:00 AM,64,28,31,28,1
01/06/2024 10:00:00 AM,78,45,27,45,2
01/06/2024 11:00:00 AM,106,53,44,53,5
01/06/2024 12:00:00 PM,161,75,73,75,4
01/06/2024 01:00:00 PM,189,119,55,119,10
01/06/2024 02:00:00 PM,180,94,67,94,9
01/06/2024 03:00:00 PM,202,113,74,113,6
01/06/2024 04:00:00 PM,144,102,35,102,4
01/06/2024 05:00:00 PM,17,8,5,8,2
01/06/2024 06:00:00 PM,15,11,4,11,0
01/06/2024 07:00:00 PM,7,5,1,5,0
01/06/2024 08:00:00 PM,9,4,5,4,0
01/06/2024 09:00:00 PM,3,3,0,3,0
01/06/2024 10:00:00 PM,6,2,4,2,0
01/06/2024 11:00:00 PM,0,0,0,0,0
01/07/2024 12:00:00 AM,0,0,0,0,0
01/07/2024 01:00:00 AM,0,0,0,0,0
01/07/2024 02:00:00 AM,1,1,0,1,0
01/07/2024 03:00:00 AM,0,0,0,0,0
01/07/2024 04:00:00 AM,2,0,2,0,0
01/07/2024 05:00:00 AM,5,1,2,1,2
01/07/2024 06:00:00 AM,2,0,2,0,0
01/07/2024 07:00:00 AM,8,4,3,4,1
01/07/2024 08:00:00 AM,33,9,20,9,1
01/07/2024 09:00:00 AM,58,24,31,24,1
01/07/2024 10:00:00 AM,70,39,26,39,4
01/07/2024 11:00:00 AM,114,60,42,60,2
01/07/2024 12:00:00 PM,98,55,37,55,3
01/07/2024 01:00:00 PM,111,49,46,49,9
01/07/2024 02:00:00 PM,136,76,50,76,2
01/07/2024 03:00:00 PM,157,82,65,82,5
01/07/2024 04:00:00 PM,172,112,46,112,4
01/07/2024 05:00:00 PM,46,33,6,33,1
01/07/2024 06:00:00 PM,13,11,2,11,0
01/07/2024 07:00:00 PM,6,4,2,4,0
01/07/2024 08:00:00 PM,7,4,3,4,0
01/07/2024 09:00:00 PM,9,5,1,5,0
01/07/2024 10:00:00 PM,3,3,0,3,0
01/07/2024 11:00:00 PM,2,1,1,1,0
01/08/2024 12:00:00 AM,2,2,0,2,0
01/08/2024 01:00:00 AM,1,1,0,1,0
01/08/2024 02:00:00 AM,1,0,1,0,0
01/08/2024 03:00:00 AM,2,2,0,2,0
01/08/2024 04:00:00 AM,0,0,0,0,0
01/08/2024 05:00:00 AM,5,0,1,0,2
01/08/2024 06:00:00 AM,17,4,8,4,3
01/08/2024 07:00:00 AM,18,8,7,8,1
01/08/2024 08:00:00 AM,24,11,8,11,0
01/08/2024 09:00:00 AM,33,11,17,11,1
01/08/2024 10:00:00 AM,25,8,16,8,0
01/08/2024 11:00:00 AM,28,16,9,16,1
01/08/2024 12:00:00 PM,50,28,15,28,0
01/08/2024 01:00:00 PM,38,22,10,22,2
01/08/2024 02:00:00 PM,37,19,10,19,5
01/08/2024 03:00:00 PM,44,21,16,21,3
01/08/2024 04:00:00 PM,53,26,18,26,2
01/08/2024 05:00:00 PM,26,15,7,15,1
01/08/2024 06:00:00 PM,21,12,5,12,1
01/08/2024 07:00:00 PM,6,4,2,4,0
01/08/2024 08:00:00 PM,5,2,3,2,0
01/08/2024 09:00:00 PM,3,3,0,3,0
01/08/2024 10:00:00 PM,0,0,0,0,0
01/08/2024 11:00:00 PM,0,0,0,0,0
01/09/2024 12:00:00 AM,1,1,0,1,0
01/09/2024 01:00:00 AM,1,1,0,1,0
01/09/2024 02:00:00 AM,0,0,0,0,0
01/09/2024 03:00:00 AM,0,0,0,0,0
01/09/2024 04:00:00 AM,0,0,0,0,0
01/09/2024 05:00:00 AM,7,2,3,2,1
01/09/2024 06:00:00 AM,15,3,9,3,1
01/09/2024 07:00:00 AM,31,10,14,10,6
